Ti,Ni,Cu,Hf,Zr,Nb,Co,Cr,Fe,Mn,Pd,hysteresis
50,44.2,1.9,0,0,0,0,0,3.9,0,0,2.8
50,44,2,0,0,0,0,0,4,0,0,3.89
50,43.9,2,0,0,0,0,0,4,0,0.1,3.83
50,43.8,2,0,0,0,0,0,4.1,0,0.1,3.73
50,43.5,2,0,0,0,0,0,4.5,0,0,3.46
50,44.5,2.1,0,0,0,0,0,3.4,0,0,3.49
50,43.9,2.1,0,0,0,0,0,4,0,0,4.54
50,44,2.3,0,0,0,0,0,3.6,0,0.1,3.3
50,44,2.3,0,0,0,0,0,3.7,0,0,4.31
50,43.8,2.6,0,0,0,0,0,3.6,0,0,3.25
50,28.1,2.9,0,0,0,0,0,0,0,19,10.94
50,26.6,3.7,0,0,0,0,0,0,0,19.7,13.67
50,26.4,0.5,0,0,0,0,0,0,0,23.1,14.34
50,25,0,0,0,0,0,0,2.1,0,22.9,12.23
48,50,0,0,0,2,0,0,0,0,0,46.96
25.5,29.4,19.6,25.5,0,0,0,0,0,0,0,38.48
30.6,29.4,19.6,20.4,0,0,0,0,0,0,0,47.74
35.7,29.4,19.6,15.3,0,0,0,0,0,0,0,35.19
40.8,29.4,19.6,10.2,0,0,0,0,0,0,0,33.19
45.9,29.4,19.6,5.1,0,0,0,0,0,0,0,14.29
51,29.4,19.6,0,0,0,0,0,0,0,0,22.2
30.6,24.5,24.5,20.4,0,0,0,0,0,0,0,44.4
30.6,34.3,14.7,20.4,0,0,0,0,0,0,0,40.55
30.6,39.2,9.8,20.4,0,0,0,0,0,0,0,42.77
30.6,44.1,4.9,20.4,0,0,0,0,0,0,0,51.15
30.6,49,0,20.4,0,0,0,0,0,0,0,47.56
