,ti,ni,cu,fe,pd,co,mn,cr,nb,zr,hf,hp,ref
1,50,10,0,7,33,0,0,0,0,0,0,92.57488,0
2,50,41.05,1.95,0,7,0,0,0,0,0,0,19.5556,0
3,50,40,0,0,10,0,0,0,0,0,0,5.77439,0
4,50,34,0,0,16,0,0,0,0,0,0,58.18,0
5,50,30,0,0,20,0,0,0,0,0,0,130.5351,0
6,50,25,0,0,25,0,0,0,0,0,0,182.9042,0
7,50,49,0,0.2,0.8,0,0,0,0,0,0,85.35755,0
8,50,27.8,0,0.6,21.6,0,0,0,0,0,0,115.0575,0
9,50,48.6,0,0.8,0.6,0,0,0,0,0,0,42.8631,0
10,50,28.2,0,0.8,21,0,0,0,0,0,0,111.4006,0
11,50,48.6,0,0.9,0.5,0,0,0,0,0,0,59.00743,0
12,50,48.7,0,1.3,0,0,0,0,0,0,0,37.73845,0
13,50,48.3,0,1.6,0.1,0,0,0,0,0,0,29.4288,0
14,50,46,0,4,0,0,0,0,0,0,0,-30.04836,0
15,50,45.8,0,4.2,0,0,0,0,0,0,0,-38.82679,0
16,50,45.7,0,4.3,0,0,0,0,0,0,0,-42.17236,0
17,50,30,0.1,0,19.9,0,0,0,0,0,0,128.1428,0
18,50,29.8,0.1,0.1,20,0,0,0,0,0,0,113.1676,0
19,50,48.1,0.2,1.5,0.2,0,0,0,0,0,0,28.81456,0
20,50,48.2,0.6,0.9,0.3,0,0,0,0,0,0,47.19464,0
21,50,46.7,0.8,2.3,0.2,0,0,0,0,0,0,8.6206,0
22,50,46.8,0.9,2,0.3,0,0,0,0,0,0,16.79619,0
23,50,44,1,1,4,0,0,0,0,0,0,-34.13262,0
24,50,25.8,1,2,21.2,0,0,0,0,0,0,71.65775,0
25,50,45.2,1,3.8,0,0,0,0,0,0,0,-25.4433,0
26,50,46.5,1.1,2.2,0.2,0,0,0,0,0,0,10.64278,0
27,50,46,1.1,2.8,0.1,0,0,0,0,0,0,-12.22048,0
28,50,36.8,1.2,0,12,0,0,0,0,0,0,49.205,0
29,50,46.1,1.2,2.7,0,0,0,0,0,0,0,-1.306821,0
30,50,45.7,1.2,3,0.1,0,0,0,0,0,0,-9.08337,0
31,50,45.1,1.4,3.5,0,0,0,0,0,0,0,-25.31235,0
32,50,38.5,1.5,0,10,0,0,0,0,0,0,38.1703,0
33,50,44.5,1.5,3,1,0,0,0,0,0,0,-50.14413,0
34,50,43.9,1.5,4.6,0,0,0,0,0,0,0,-44.91348,0
35,50,44.5,1.6,3.7,0.2,0,0,0,0,0,0,-28.86574,0
36,50,44.5,1.7,3.7,0.1,0,0,0,0,0,0,-28.03577,0
37,50,40.2,1.8,0,8,0,0,0,0,0,0,15.9586,0
