,Ti,Ni,Cu,Fe,Pd,Co,Mn,Cr,Nb,Zr,Hf,enthalpy
30,49.6,50.4,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-21.24
31,50.0,30.0,20.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-17.76
32,50.0,37.5,12.5,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-19.17
33,50.0,35.0,15.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-18.96
34,29.7,50.3,0.0,0.0,0.0,0.0,0,0.0,0.0,5.0,15.0,-16.16
35,30.0,50.0,0.0,0.0,0.0,0.0,0,0.0,0.0,5.0,15.0,-21.08
36,30.0,45.0,5.0,0.0,0.0,0.0,0,0.0,0.0,5.0,15.0,-21.16
37,30.0,40.0,10.0,0.0,0.0,0.0,0,0.0,0.0,5.0,15.0,-12.55
38,30.5,49.5,0.0,0.0,0.0,0.0,0,0.0,0.0,5.0,15.0,-34.11
39,31.0,49.0,0.0,0.0,0.0,0.0,0,0.0,0.0,5.0,15.0,-28.12
40,31.5,48.5,0.0,0.0,0.0,0.0,0,0.0,0.0,15.0,5.0,-28.12
41,31.5,38.5,10.0,0.0,0.0,0.0,0,0.0,0.0,15.0,5.0,-15.89
42,31.5,48.5,0.0,0.0,0.0,0.0,0,0.0,0.0,12.5,7.5,-27.8
43,31.5,48.5,0.0,0.0,0.0,0.0,0,0.0,0.0,10.0,10.0,-27.86
44,31.5,38.5,10.0,0.0,0.0,0.0,0,0.0,0.0,10.0,10.0,-17.25
45,31.5,48.5,0.0,0.0,0.0,0.0,0,0.0,0.0,7.5,12.5,-27.06
46,31.5,48.5,0.0,0.0,0.0,0.0,0,0.0,0.0,5.0,15.0,-27.53
47,31.5,43.5,5.0,0.0,0.0,0.0,0,0.0,0.0,5.0,15.0,-21.37
48,31.5,38.5,10.0,0.0,0.0,0.0,0,0.0,0.0,5.0,15.0,-16.85
49,31.5,33.5,15.0,0.0,0.0,0.0,0,0.0,0.0,5.0,15.0,-14.73
50,31.5,28.499999999999996,20.0,0.0,0.0,0.0,0,0.0,0.0,5.0,15.0,-9.174
51,31.5,48.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,20.0,-31.84
52,31.5,43.5,5.0,0.0,0.0,0.0,0,0.0,0.0,0.0,20.0,-26.11
53,31.5,38.5,10.0,0.0,0.0,0.0,0,0.0,0.0,0.0,20.0,-21.2
54,31.5,48.5,0.0,0.0,0.0,0.0,0,0.0,0.0,20.0,0.0,-32.9
55,31.5,43.5,5.0,0.0,0.0,0.0,0,0.0,0.0,20.0,0.0,-22.54
56,31.5,38.5,10.0,0.0,0.0,0.0,0,0.0,0.0,20.0,0.0,-15.67
57,33.0,47.0,0.0,0.0,0.0,0.0,0,0.0,0.0,5.0,15.0,-24.69
58,33.0,42.0,5.0,0.0,0.0,0.0,0,0.0,0.0,5.0,15.0,-21.81
59,33.0,37.0,10.0,0.0,0.0,0.0,0,0.0,0.0,5.0,15.0,-17.34
60,36.0,44.0,0.0,0.0,0.0,0.0,0,0.0,0.0,5.0,15.0,-20.09
61,36.0,49.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,15.0,-28.12
62,36.0,44.0,5.0,0.0,0.0,0.0,0,0.0,0.0,0.0,15.0,-23.33
63,39.0,41.0,0.0,0.0,0.0,0.0,0,0.0,0.0,5.0,15.0,-15.8
64,50.0,10.0,0.0,7.000000000000001,33.0,0.0,0,0.0,0.0,0.0,0.0,-11.33
65,50.0,30.0,0.0,0.0,20.0,0.0,0,0.0,0.0,0.0,0.0,-13.77
66,50.0,25.0,0.0,0.0,25.0,0.0,0,0.0,0.0,0.0,0.0,-15.6
67,50.0,49.0,0.0,0.2,0.8,0.0,0,0.0,0.0,0.0,0.0,-25.45
68,50.0,49.0,0.0,0.4,0.6,0.0,0,0.0,0.0,0.0,0.0,-26.62
69,50.0,27.800000000000004,0.0,0.6,21.6,0.0,0,0.0,0.0,0.0,0.0,-10.78
70,50.0,28.199999999999996,0.0,0.8,21.0,0.0,0,0.0,0.0,0.0,0.0,-11.25
71,50.0,48.6,0.0,0.9000000000000001,0.5,0.0,0,0.0,0.0,0.0,0.0,-22.51
72,50.0,48.3,0.0,1.6,0.1,0.0,0,0.0,0.0,0.0,0.0,-20.39
73,50.0,45.8,0.0,4.2,0.0,0.0,0,0.0,0.0,0.0,0.0,-3.015
74,50.0,45.7,0.0,4.3,0.0,0.0,0,0.0,0.0,0.0,0.0,-3.292
75,50.0,30.0,0.1,0.0,19.9,0.0,0,0.0,0.0,0.0,0.0,-16.1
76,50.0,29.799999999999997,0.1,0.1,20.0,0.0,0,0.0,0.0,0.0,0.0,-13.65
77,50.0,48.1,0.2,1.5,0.2,0.0,0,0.0,0.0,0.0,0.0,-14.52
78,50.0,48.2,0.6,0.9000000000000001,0.3,0.0,0,0.0,0.0,0.0,0.0,-17.85
79,50.0,25.8,1.0,2.0,21.2,0.0,0,0.0,0.0,0.0,0.0,-9.844
80,50.0,45.7,1.2,3.0,0.1,0.0,0,0.0,0.0,0.0,0.0,-4.312
81,50.0,45.1,1.4,3.5000000000000004,0.0,0.0,0,0.0,0.0,0.0,0.0,-3.0610000000000004
82,50.0,43.9,1.5,4.6,0.0,0.0,0,0.0,0.0,0.0,0.0,-3.323
83,50.0,44.5,1.6,3.7000000000000006,0.2,0.0,0,0.0,0.0,0.0,0.0,-3.21
84,50.0,44.6,1.9,3.4000000000000004,0.1,0.0,0,0.0,0.0,0.0,0.0,-4.05
85,50.0,44.2,1.9,3.8,0.1,0.0,0,0.0,0.0,0.0,0.0,-2.7060000000000004
86,50.0,44.2,1.9,3.9,0.0,0.0,0,0.0,0.0,0.0,0.0,-2.455
87,50.0,44.0,2.0,4.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-2.7689999999999997
